Request: insert
Batch size: 1000
Request per second: 864258
Avg (μs): 1.157
Med (μs): 1.170
Min (μs): 0.910
Max (μs): 1.347
90% (μs): 1.190
99% (μs): 1.205
99.9% (μs): 1.233
Request: insert
Batch size: 1000
Request per second: 1002029
Avg (μs): 0.998
Med (μs): 1.006
Min (μs): 0.882
Max (μs): 1.077
90% (μs): 1.025
99% (μs): 1.035
99.9% (μs): 1.044
Request: select
Batch size: 1000
Request per second: 837941
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.948
Max (μs): 1.340
90% (μs): 1.227
99% (μs): 1.236
99.9% (μs): 1.246
Request: replace
Batch size: 1000
Request per second: 1002189
Avg (μs): 0.998
Med (μs): 1.006
Min (μs): 0.888
Max (μs): 1.041
90% (μs): 1.025
99% (μs): 1.034
99.9% (μs): 1.040
Request: delete
Batch size: 1000
Request per second: 865784
Avg (μs): 1.155
Med (μs): 1.169
Min (μs): 0.905
Max (μs): 1.346
90% (μs): 1.187
99% (μs): 1.200
99.9% (μs): 1.230
Request: insert
Batch size: 1000
Request per second: 1002680
Avg (μs): 0.997
Med (μs): 1.005
Min (μs): 0.889
Max (μs): 1.055
90% (μs): 1.026
99% (μs): 1.039
99.9% (μs): 1.046
Request: select
Batch size: 1000
Request per second: 836682
Avg (μs): 1.195
Med (μs): 1.208
Min (μs): 0.942
Max (μs): 1.312
90% (μs): 1.228
99% (μs): 1.239
99.9% (μs): 1.269
Request: replace
Batch size: 1000
Request per second: 1000420
Avg (μs): 1.000
Med (μs): 1.008
Min (μs): 0.889
Max (μs): 1.054
90% (μs): 1.030
99% (μs): 1.040
99.9% (μs): 1.049
Request: delete
Batch size: 1000
Request per second: 862807
Avg (μs): 1.159
Med (μs): 1.173
Min (μs): 0.903
Max (μs): 1.381
90% (μs): 1.193
99% (μs): 1.209
99.9% (μs): 1.265
Request: insert
Batch size: 1000
Request per second: 1004128
Avg (μs): 0.996
Med (μs): 1.005
Min (μs): 0.889
Max (μs): 1.044
90% (μs): 1.021
99% (μs): 1.031
99.9% (μs): 1.041
Request: select
Batch size: 1000
Request per second: 837154
Avg (μs): 1.195
Med (μs): 1.207
Min (μs): 0.948
Max (μs): 1.341
90% (μs): 1.226
99% (μs): 1.238
99.9% (μs): 1.244
Request: replace
Batch size: 1000
Request per second: 1001906
Avg (μs): 0.998
Med (μs): 1.007
Min (μs): 0.895
Max (μs): 1.051
90% (μs): 1.024
99% (μs): 1.036
99.9% (μs): 1.050
Request: delete
Batch size: 1000
Request per second: 864472
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.908
Max (μs): 1.358
90% (μs): 1.190
99% (μs): 1.201
99.9% (μs): 1.237
Request: insert
Batch size: 1000
Request per second: 879011
Avg (μs): 1.138
Med (μs): 1.004
Min (μs): 0.896
Max (μs): 138.933
90% (μs): 1.033
99% (μs): 1.096
99.9% (μs): 1.808
Request: select
Batch size: 1000
Request per second: 835006
Avg (μs): 1.198
Med (μs): 1.211
Min (μs): 0.959
Max (μs): 1.372
90% (μs): 1.229
99% (μs): 1.240
99.9% (μs): 1.253
Request: replace
Batch size: 1000
Request per second: 991184
Avg (μs): 1.009
Med (μs): 1.017
Min (μs): 0.902
Max (μs): 1.121
90% (μs): 1.037
99% (μs): 1.048
99.9% (μs): 1.063
Request: delete
Batch size: 1000
Request per second: 863064
Avg (μs): 1.159
Med (μs): 1.173
Min (μs): 0.904
Max (μs): 1.345
90% (μs): 1.192
99% (μs): 1.206
99.9% (μs): 1.229
Request: insert
Batch size: 1000
Request per second: 990024
Avg (μs): 1.010
Med (μs): 1.020
Min (μs): 0.884
Max (μs): 1.057
90% (μs): 1.039
99% (μs): 1.050
99.9% (μs): 1.057
Request: select
Batch size: 1000
Request per second: 831550
Avg (μs): 1.203
Med (μs): 1.216
Min (μs): 0.947
Max (μs): 1.384
90% (μs): 1.235
99% (μs): 1.247
99.9% (μs): 1.268
Request: replace
Batch size: 1000
Request per second: 989227
Avg (μs): 1.011
Med (μs): 1.020
Min (μs): 0.903
Max (μs): 1.168
90% (μs): 1.040
99% (μs): 1.051
99.9% (μs): 1.058
Request: delete
Batch size: 1000
Request per second: 862499
Avg (μs): 1.159
Med (μs): 1.174
Min (μs): 0.905
Max (μs): 1.307
90% (μs): 1.193
99% (μs): 1.205
99.9% (μs): 1.220
Request: insert
Batch size: 1000
Request per second: 989898
Avg (μs): 1.010
Med (μs): 1.020
Min (μs): 0.902
Max (μs): 1.065
90% (μs): 1.038
99% (μs): 1.049
99.9% (μs): 1.063
Request: select
Batch size: 1000
Request per second: 833608
Avg (μs): 1.200
Med (μs): 1.214
Min (μs): 0.951
Max (μs): 1.336
90% (μs): 1.232
99% (μs): 1.245
99.9% (μs): 1.259
Request: replace
Batch size: 1000
Request per second: 990882
Avg (μs): 1.009
Med (μs): 1.018
Min (μs): 0.881
Max (μs): 1.053
90% (μs): 1.036
99% (μs): 1.048
99.9% (μs): 1.052
Request: delete
Batch size: 1000
Request per second: 862498
Avg (μs): 1.159
Med (μs): 1.174
Min (μs): 0.920
Max (μs): 1.367
90% (μs): 1.193
99% (μs): 1.204
99.9% (μs): 1.326
Request: insert
Batch size: 1000
Request per second: 988708
Avg (μs): 1.011
Med (μs): 1.022
Min (μs): 0.881
Max (μs): 1.070
90% (μs): 1.040
99% (μs): 1.048
99.9% (μs): 1.062
Request: select
Batch size: 1000
Request per second: 833898
Avg (μs): 1.199
Med (μs): 1.213
Min (μs): 0.947
Max (μs): 1.354
90% (μs): 1.232
99% (μs): 1.243
99.9% (μs): 1.261
Request: replace
Batch size: 1000
Request per second: 989650
Avg (μs): 1.010
Med (μs): 1.020
Min (μs): 0.908
Max (μs): 1.106
90% (μs): 1.037
99% (μs): 1.049
99.9% (μs): 1.077
Request: delete
Batch size: 1000
Request per second: 813992
Avg (μs): 1.229
Med (μs): 1.173
Min (μs): 0.926
Max (μs): 38.210
90% (μs): 1.198
99% (μs): 1.726
99.9% (μs): 9.366
Request: insert
Batch size: 1000
Request per second: 991831
Avg (μs): 1.008
Med (μs): 1.017
Min (μs): 0.890
Max (μs): 1.089
90% (μs): 1.035
99% (μs): 1.045
99.9% (μs): 1.053
Request: select
Batch size: 1000
Request per second: 834147
Avg (μs): 1.199
Med (μs): 1.213
Min (μs): 0.949
Max (μs): 1.375
90% (μs): 1.233
99% (μs): 1.244
99.9% (μs): 1.253
Request: replace
Batch size: 1000
Request per second: 987478
Avg (μs): 1.013
Med (μs): 1.023
Min (μs): 0.895
Max (μs): 1.059
90% (μs): 1.041
99% (μs): 1.053
99.9% (μs): 1.058
Request: delete
Batch size: 1000
Request per second: 860552
Avg (μs): 1.162
Med (μs): 1.177
Min (μs): 0.903
Max (μs): 1.338
90% (μs): 1.196
99% (μs): 1.207
99.9% (μs): 1.221
Request: insert
Batch size: 1000
Request per second: 984976
Avg (μs): 1.015
Med (μs): 1.018
Min (μs): 0.902
Max (μs): 7.567
90% (μs): 1.035
99% (μs): 1.047
99.9% (μs): 1.153
Request: select
Batch size: 1000
Request per second: 834616
Avg (μs): 1.198
Med (μs): 1.213
Min (μs): 0.950
Max (μs): 1.364
90% (μs): 1.230
99% (μs): 1.240
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 989400
Avg (μs): 1.011
Med (μs): 1.018
Min (μs): 0.895
Max (μs): 1.068
90% (μs): 1.040
99% (μs): 1.052
99.9% (μs): 1.061
Request: delete
Batch size: 1000
Request per second: 861827
Avg (μs): 1.160
Med (μs): 1.175
Min (μs): 0.906
Max (μs): 1.385
90% (μs): 1.193
99% (μs): 1.206
99.9% (μs): 1.266
Request: insert
Batch size: 1000
Request per second: 880890
Avg (μs): 1.135
Med (μs): 1.000
Min (μs): 0.897
Max (μs): 139.188
90% (μs): 1.031
99% (μs): 1.071
99.9% (μs): 1.817
Request: select
Batch size: 1000
Request per second: 836692
Avg (μs): 1.195
Med (μs): 1.210
Min (μs): 0.949
Max (μs): 1.341
90% (μs): 1.228
99% (μs): 1.239
99.9% (μs): 1.256
Request: replace
Batch size: 1000
Request per second: 994146
Avg (μs): 1.006
Med (μs): 1.016
Min (μs): 0.888
Max (μs): 1.050
90% (μs): 1.035
99% (μs): 1.043
99.9% (μs): 1.049
Request: delete
Batch size: 1000
Request per second: 864587
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.916
Max (μs): 1.393
90% (μs): 1.191
99% (μs): 1.204
99.9% (μs): 1.247
Request: insert
Batch size: 1000
Request per second: 993882
Avg (μs): 1.006
Med (μs): 1.016
Min (μs): 0.892
Max (μs): 1.053
90% (μs): 1.036
99% (μs): 1.045
99.9% (μs): 1.051
Request: select
Batch size: 1000
Request per second: 834489
Avg (μs): 1.198
Med (μs): 1.212
Min (μs): 0.947
Max (μs): 1.383
90% (μs): 1.231
99% (μs): 1.245
99.9% (μs): 1.350
Request: replace
Batch size: 1000
Request per second: 995362
Avg (μs): 1.005
Med (μs): 1.014
Min (μs): 0.894
Max (μs): 1.047
90% (μs): 1.034
99% (μs): 1.042
99.9% (μs): 1.045
Request: delete
Batch size: 1000
Request per second: 864306
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.916
Max (μs): 1.402
90% (μs): 1.189
99% (μs): 1.201
99.9% (μs): 1.247
Request: insert
Batch size: 1000
Request per second: 990279
Avg (μs): 1.010
Med (μs): 1.021
Min (μs): 0.902
Max (μs): 1.122
90% (μs): 1.038
99% (μs): 1.047
99.9% (μs): 1.052
Request: select
Batch size: 1000
Request per second: 835318
Avg (μs): 1.197
Med (μs): 1.211
Min (μs): 0.931
Max (μs): 1.376
90% (μs): 1.230
99% (μs): 1.243
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 992673
Avg (μs): 1.007
Med (μs): 1.016
Min (μs): 0.886
Max (μs): 1.055
90% (μs): 1.036
99% (μs): 1.045
99.9% (μs): 1.054
Request: delete
Batch size: 1000
Request per second: 864365
Avg (μs): 1.157
Med (μs): 1.170
Min (μs): 0.910
Max (μs): 1.400
90% (μs): 1.189
99% (μs): 1.203
99.9% (μs): 1.258
Request: insert
Batch size: 1000
Request per second: 993765
Avg (μs): 1.006
Med (μs): 1.016
Min (μs): 0.884
Max (μs): 1.184
90% (μs): 1.036
99% (μs): 1.045
99.9% (μs): 1.050
Request: select
Batch size: 1000
Request per second: 834789
Avg (μs): 1.198
Med (μs): 1.213
Min (μs): 0.945
Max (μs): 1.309
90% (μs): 1.232
99% (μs): 1.242
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 991945
Avg (μs): 1.008
Med (μs): 1.018
Min (μs): 0.889
Max (μs): 1.147
90% (μs): 1.037
99% (μs): 1.046
99.9% (μs): 1.051
Request: delete
Batch size: 1000
Request per second: 863396
Avg (μs): 1.158
Med (μs): 1.173
Min (μs): 0.906
Max (μs): 1.348
90% (μs): 1.191
99% (μs): 1.202
99.9% (μs): 1.229
Request: insert
Batch size: 1000
Request per second: 992644
Avg (μs): 1.007
Med (μs): 1.016
Min (μs): 0.884
Max (μs): 1.058
90% (μs): 1.036
99% (μs): 1.047
99.9% (μs): 1.056
Request: select
Batch size: 1000
Request per second: 836067
Avg (μs): 1.196
Med (μs): 1.210
Min (μs): 0.939
Max (μs): 1.304
90% (μs): 1.229
99% (μs): 1.242
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 991956
Avg (μs): 1.008
Med (μs): 1.019
Min (μs): 0.896
Max (μs): 1.054
90% (μs): 1.037
99% (μs): 1.047
99.9% (μs): 1.053
Request: delete
Batch size: 1000
Request per second: 862335
Avg (μs): 1.160
Med (μs): 1.174
Min (μs): 0.919
Max (μs): 1.363
90% (μs): 1.194
99% (μs): 1.208
99.9% (μs): 1.234
Request: insert
Batch size: 1000
Request per second: 993755
Avg (μs): 1.006
Med (μs): 1.015
Min (μs): 0.891
Max (μs): 1.059
90% (μs): 1.035
99% (μs): 1.044
99.9% (μs): 1.049
Request: select
Batch size: 1000
Request per second: 836485
Avg (μs): 1.195
Med (μs): 1.210
Min (μs): 0.946
Max (μs): 1.350
90% (μs): 1.229
99% (μs): 1.240
99.9% (μs): 1.255
Request: replace
Batch size: 1000
Request per second: 992927
Avg (μs): 1.007
Med (μs): 1.016
Min (μs): 0.893
Max (μs): 1.062
90% (μs): 1.034
99% (μs): 1.045
99.9% (μs): 1.054
Request: delete
Batch size: 1000
Request per second: 865308
Avg (μs): 1.156
Med (μs): 1.170
Min (μs): 0.904
Max (μs): 1.385
90% (μs): 1.190
99% (μs): 1.202
99.9% (μs): 1.236
Request: insert
Batch size: 1000
Request per second: 994813
Avg (μs): 1.005
Med (μs): 1.014
Min (μs): 0.888
Max (μs): 1.058
90% (μs): 1.035
99% (μs): 1.044
99.9% (μs): 1.058
Request: select
Batch size: 1000
Request per second: 836036
Avg (μs): 1.196
Med (μs): 1.210
Min (μs): 0.945
Max (μs): 1.375
90% (μs): 1.229
99% (μs): 1.239
99.9% (μs): 1.361
Request: replace
Batch size: 1000
Request per second: 990098
Avg (μs): 1.010
Med (μs): 1.019
Min (μs): 0.902
Max (μs): 1.060
90% (μs): 1.041
99% (μs): 1.053
99.9% (μs): 1.058
Request: delete
Batch size: 1000
Request per second: 861706
Avg (μs): 1.160
Med (μs): 1.174
Min (μs): 0.914
Max (μs): 1.338
90% (μs): 1.194
99% (μs): 1.207
99.9% (μs): 1.227
Request: insert
Batch size: 1000
Request per second: 991156
Avg (μs): 1.009
Med (μs): 1.016
Min (μs): 0.887
Max (μs): 1.094
90% (μs): 1.036
99% (μs): 1.048
99.9% (μs): 1.055
Request: select
Batch size: 1000
Request per second: 836461
Avg (μs): 1.196
Med (μs): 1.211
Min (μs): 0.931
Max (μs): 1.348
90% (μs): 1.229
99% (μs): 1.243
99.9% (μs): 1.348
Request: replace
Batch size: 1000
Request per second: 992661
Avg (μs): 1.007
Med (μs): 1.016
Min (μs): 0.889
Max (μs): 1.049
90% (μs): 1.036
99% (μs): 1.045
99.9% (μs): 1.049
Request: delete
Batch size: 1000
Request per second: 864390
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.914
Max (μs): 1.370
90% (μs): 1.190
99% (μs): 1.202
99.9% (μs): 1.235
Request: insert
Batch size: 1000
Request per second: 997799
Avg (μs): 1.002
Med (μs): 1.011
Min (μs): 0.903
Max (μs): 1.159
90% (μs): 1.031
99% (μs): 1.043
99.9% (μs): 1.047
Request: select
Batch size: 1000
Request per second: 836533
Avg (μs): 1.195
Med (μs): 1.209
Min (μs): 0.933
Max (μs): 1.368
90% (μs): 1.228
99% (μs): 1.240
99.9% (μs): 1.253
Request: replace
Batch size: 1000
Request per second: 993671
Avg (μs): 1.006
Med (μs): 1.016
Min (μs): 0.888
Max (μs): 1.121
90% (μs): 1.034
99% (μs): 1.046
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 864103
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.922
Max (μs): 1.386
90% (μs): 1.192
99% (μs): 1.205
99.9% (μs): 1.248
Request: insert
Batch size: 1000
Request per second: 993685
Avg (μs): 1.006
Med (μs): 1.014
Min (μs): 0.900
Max (μs): 1.052
90% (μs): 1.034
99% (μs): 1.043
99.9% (μs): 1.046
Request: select
Batch size: 1000
Request per second: 837021
Avg (μs): 1.195
Med (μs): 1.208
Min (μs): 0.940
Max (μs): 1.292
90% (μs): 1.228
99% (μs): 1.238
99.9% (μs): 1.247
Request: replace
Batch size: 1000
Request per second: 997169
Avg (μs): 1.003
Med (μs): 1.011
Min (μs): 0.892
Max (μs): 1.068
90% (μs): 1.032
99% (μs): 1.042
99.9% (μs): 1.050
Request: delete
Batch size: 1000
Request per second: 864972
Avg (μs): 1.156
Med (μs): 1.170
Min (μs): 0.901
Max (μs): 1.372
90% (μs): 1.189
99% (μs): 1.203
99.9% (μs): 1.233
Request: insert
Batch size: 1000
Request per second: 877377
Avg (μs): 1.140
Med (μs): 1.005
Min (μs): 0.898
Max (μs): 138.941
90% (μs): 1.036
99% (μs): 1.096
99.9% (μs): 1.814
Request: select
Batch size: 1000
Request per second: 834164
Avg (μs): 1.199
Med (μs): 1.212
Min (μs): 0.950
Max (μs): 1.315
90% (μs): 1.230
99% (μs): 1.243
99.9% (μs): 1.259
Request: replace
Batch size: 1000
Request per second: 987040
Avg (μs): 1.013
Med (μs): 1.023
Min (μs): 0.900
Max (μs): 1.059
90% (μs): 1.040
99% (μs): 1.050
99.9% (μs): 1.057
Request: delete
Batch size: 1000
Request per second: 861141
Avg (μs): 1.161
Med (μs): 1.175
Min (μs): 0.913
Max (μs): 1.395
90% (μs): 1.193
99% (μs): 1.208
99.9% (μs): 1.279
Request: insert
Batch size: 1000
Request per second: 986364
Avg (μs): 1.014
Med (μs): 1.024
Min (μs): 0.895
Max (μs): 1.057
90% (μs): 1.043
99% (μs): 1.053
99.9% (μs): 1.056
Request: select
Batch size: 1000
Request per second: 832271
Avg (μs): 1.202
Med (μs): 1.215
Min (μs): 0.949
Max (μs): 1.352
90% (μs): 1.235
99% (μs): 1.248
99.9% (μs): 1.261
Request: replace
Batch size: 1000
Request per second: 986343
Avg (μs): 1.014
Med (μs): 1.025
Min (μs): 0.900
Max (μs): 1.063
90% (μs): 1.043
99% (μs): 1.054
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 860554
Avg (μs): 1.162
Med (μs): 1.175
Min (μs): 0.910
Max (μs): 1.361
90% (μs): 1.196
99% (μs): 1.207
99.9% (μs): 1.313
Request: insert
Batch size: 1000
Request per second: 986905
Avg (μs): 1.013
Med (μs): 1.023
Min (μs): 0.897
Max (μs): 1.064
90% (μs): 1.041
99% (μs): 1.050
99.9% (μs): 1.062
Request: select
Batch size: 1000
Request per second: 832749
Avg (μs): 1.201
Med (μs): 1.216
Min (μs): 0.940
Max (μs): 1.354
90% (μs): 1.234
99% (μs): 1.247
99.9% (μs): 1.253
Request: replace
Batch size: 1000
Request per second: 987636
Avg (μs): 1.013
Med (μs): 1.022
Min (μs): 0.902
Max (μs): 1.060
90% (μs): 1.041
99% (μs): 1.053
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 859137
Avg (μs): 1.164
Med (μs): 1.177
Min (μs): 0.915
Max (μs): 1.376
90% (μs): 1.197
99% (μs): 1.209
99.9% (μs): 1.256
Request: insert
Batch size: 1000
Request per second: 989144
Avg (μs): 1.011
Med (μs): 1.021
Min (μs): 0.877
Max (μs): 1.052
90% (μs): 1.037
99% (μs): 1.045
99.9% (μs): 1.052
Request: select
Batch size: 1000
Request per second: 829780
Avg (μs): 1.205
Med (μs): 1.220
Min (μs): 0.947
Max (μs): 1.395
90% (μs): 1.240
99% (μs): 1.252
99.9% (μs): 1.360
Request: replace
Batch size: 1000
Request per second: 988320
Avg (μs): 1.012
Med (μs): 1.022
Min (μs): 0.896
Max (μs): 1.069
90% (μs): 1.038
99% (μs): 1.050
99.9% (μs): 1.068
Request: delete
Batch size: 1000
Request per second: 860592
Avg (μs): 1.162
Med (μs): 1.176
Min (μs): 0.912
Max (μs): 1.369
90% (μs): 1.195
99% (μs): 1.206
99.9% (μs): 1.254
Request: insert
Batch size: 1000
Request per second: 987920
Avg (μs): 1.012
Med (μs): 1.022
Min (μs): 0.905
Max (μs): 1.060
90% (μs): 1.040
99% (μs): 1.047
99.9% (μs): 1.052
Request: select
Batch size: 1000
Request per second: 833270
Avg (μs): 1.200
Med (μs): 1.213
Min (μs): 0.945
Max (μs): 1.367
90% (μs): 1.232
99% (μs): 1.243
99.9% (μs): 1.259
Request: replace
Batch size: 1000
Request per second: 983853
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.905
Max (μs): 1.066
90% (μs): 1.047
99% (μs): 1.059
99.9% (μs): 1.064
Request: delete
Batch size: 1000
Request per second: 857910
Avg (μs): 1.166
Med (μs): 1.179
Min (μs): 0.915
Max (μs): 1.388
90% (μs): 1.198
99% (μs): 1.215
99.9% (μs): 1.311
Request: insert
Batch size: 1000
Request per second: 987531
Avg (μs): 1.013
Med (μs): 1.021
Min (μs): 0.910
Max (μs): 1.060
90% (μs): 1.040
99% (μs): 1.050
99.9% (μs): 1.055
Request: select
Batch size: 1000
Request per second: 832838
Avg (μs): 1.201
Med (μs): 1.214
Min (μs): 0.951
Max (μs): 1.355
90% (μs): 1.233
99% (μs): 1.245
99.9% (μs): 1.255
Request: replace
Batch size: 1000
Request per second: 986251
Avg (μs): 1.014
Med (μs): 1.023
Min (μs): 0.902
Max (μs): 1.163
90% (μs): 1.040
99% (μs): 1.051
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 862122
Avg (μs): 1.160
Med (μs): 1.175
Min (μs): 0.916
Max (μs): 1.393
90% (μs): 1.192
99% (μs): 1.206
99.9% (μs): 1.233
Request: insert
Batch size: 1000
Request per second: 984924
Avg (μs): 1.015
Med (μs): 1.026
Min (μs): 0.891
Max (μs): 1.112
90% (μs): 1.042
99% (μs): 1.053
99.9% (μs): 1.073
Request: select
Batch size: 1000
Request per second: 832861
Avg (μs): 1.201
Med (μs): 1.215
Min (μs): 0.943
Max (μs): 1.371
90% (μs): 1.234
99% (μs): 1.246
99.9% (μs): 1.255
Request: replace
Batch size: 1000
Request per second: 987905
Avg (μs): 1.012
Med (μs): 1.022
Min (μs): 0.906
Max (μs): 1.217
90% (μs): 1.039
99% (μs): 1.050
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 861079
Avg (μs): 1.161
Med (μs): 1.175
Min (μs): 0.914
Max (μs): 1.412
90% (μs): 1.194
99% (μs): 1.206
99.9% (μs): 1.243
Request: insert
Batch size: 1000
Request per second: 988297
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.902
Max (μs): 1.061
90% (μs): 1.038
99% (μs): 1.049
99.9% (μs): 1.055
Request: select
Batch size: 1000
Request per second: 834023
Avg (μs): 1.199
Med (μs): 1.214
Min (μs): 0.934
Max (μs): 1.333
90% (μs): 1.232
99% (μs): 1.243
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 986901
Avg (μs): 1.013
Med (μs): 1.024
Min (μs): 0.897
Max (μs): 1.060
